Egzersiz_Adi,Kategori,Ekipman,Aciklama
Smith Press,Shoulders,Incline bench,Neredeyse 90 derecelik bir açıyla duran smith makinesi
Isometric Wipers,Chest,none (bodyweight exercise),"Şınav pozisyonu alın, elleriniz omuz genişliğinden biraz daha açık olsun.

Vücut ağırlığınızı mümkün olduğunca bir tarafa kaydırın, o taraftaki dirseğinizin bükülmesine izin verin.

Hareketi tersine çevirerek tamamen diğer tarafa geçin.

Başlangıç ​​pozisyonuna dönün ve istediğiniz tekrar sayısına kadar tekrarlayın."
Jumping Jacks,Legs,Vücut Ağırlığı,"ABD ordusunda yan yana sıçrama olarak da adlandırılan jumping jack veya star jump, bacaklar genişçe açılmış ve eller başın üzerinde, bazen de alkış şeklinde, bir pozisyona sıçrayarak ve ardından ayaklar birleşik ve kollar yanlarda olacak şekilde geri dönerek yapılan fiziksel bir sıçrama egzersizidir."
Landmine press,Shoulders,Barbell,Açıklama Bulunamadı!
Cable Cross-over,Chest,Vücut Ağırlığı,"Kabloları omuz hizasında, her elinizde birer tane olacak şekilde tutarak başlayın. Denge sağlamak ve kablolarda gerilim oluşturmak için bir ayağınız diğerinin önüne gelecek şekilde bir adım öne atın. Ellerinizi önünüzde birleştirin. Ellerinizi birkaç santim üst üste getirmeye çalışın (böylece kablolar birbirini çaprazlasın)."
Jogging,Cardio,Vücut Ağırlığı,"Ayakkabılarınızı giyin, dışarı çıkın ve orta tempoda koşmaya başlayın."
"Long-Pulley, Narrow",Back,Vücut Ağırlığı,"Egzersiz, normal uzun makara egzersiziyle aynıdır, ancak dar bir tutuşla yapılır:

Oturun, ayaklarınızı destek noktalarına koyun ve barı geniş bir tutuşla kavrayın. Ağırlığı hızlı bir hareketle göbek deliğinize doğru çekin, yukarıya doğru değil. Hareket boyunca kollarınızı ve dirseklerinizi vücudunuza yakın tutun. Omuzlarınız birbirine yakın olmalı. Kollarınız tamamen gerilene kadar ağırlığı yavaşça indirin."
Straight Bar Cable Front Raise,Shoulders,SZ-Bar,"Kablo kulesine geri dön, bacaklar arasındaki kablo, SZ Bar"
Quadriped Arm and Leg Raise,Back,none (bodyweight exercise),"Bu egzersizde, emekleme pozisyonunda çaprazlanmış kol ve bacağı aynı anda kaldırarak sırt kasları, bacağın arkası ve kolun arkası kasları aktive edilir. Ayrıca dengeyi ve propriosepsiyonu da geliştirir. Hareket simetrik olarak yapılır.
1. Emekleme pozisyonuna geçin. 2. Karnınızı içeri çekin, ardından sağ bacağınızı ve sol kolunuzu kaldırın. 3. Karnınızı 8 saniye boyunca içeri çekin. 4. 8 saniye sonra, kolunuzu ve bacağınızı yavaşça indirin. 5. Ardından kaslarınızı gevşetin."
Long-Pulley (low Row),Back,Vücut Ağırlığı,"Oturun, ayaklarınızı destek noktalarına koyun ve barı geniş bir kavrama ile tutun. Ağırlığı hızlı bir hareketle göbek deliğinize doğru çekin, yukarıya doğru değil. Hareket boyunca kollarınızı ve dirseklerinizi vücudunuza yakın tutun. Omuzlarınız birbirine yaklaşsın. Kollarınız tamamen gerilene kadar ağırlığı yavaşça indirin."
Lying Rotator Cuff Exercise,Shoulders,Dumbbell,"Bu egzersiz, levator kaslarındaki sorunlar için tasarlanmıştır. Birincil kas: İnfraspinatus, ikincil kas: Teres Minor.

Yan yatın. Dirseğinizi belinize koyun ve 90 derecelik bir açıda tutun. Karnınıza doğru dönün. Uygun olduğunuz ölçüde ağırlık ekleyin."
Muscle up,Back,Pull-up bar,"Vücut daha sonra, normal bir barfiks hareketinden daha yüksek bir hızla, kollar tarafından patlayıcı bir şekilde yukarı çekilir (radyal barfiks). Bar üst göğse yaklaştığında, bilekler hızla bükülerek ön kollar barın üzerine getirilir. Vücut öne doğru eğilir ve triseps kasları aktive edilerek dirsekler düzleştirilir. Bar bel hizasında ve kollar tamamen düz olduğunda hareket tamamlanmış sayılır.

İniş için, kollar dirseklerden bükülür ve vücut yere indirilir ve egzersiz tekrarlanabilir.

Nispeten ileri seviye bir egzersiz olan muscle-up, genellikle önce yardımcı bir kip ile öğrenilir. Bacaklar yukarı doğru sallanır (kip) ve barın üzerine çıkmak için gereken patlayıcı yukarı doğru kuvvete yardımcı olmak için ivme sağlar. Daha ileri seviye sporcular, kip olmadan yavaşça yapılan muscle-up'ın katı bir varyasyonunu gerçekleştirebilirler. Bu varyasyon, hareketsiz bir şekilde asılı kalma ile başlar ve yavaş, kontrollü bir şekilde barın üzerine çıkmak için izometrik kas kasılması kullanır."
L Hold,Abs,Vücut Ağırlığı,L pozisyonunu mümkün olduğunca uzun süre koruyun.
Prone Scapular Retraction - Arms at Side,Back,Vücut Ağırlığı,"Yüzüstü yatın, başınızı havluya koyun.

Kollarınızı yanlara doğru düz bir şekilde uzatın.

Kollarınızı yavaşça kaldırın, kürek kemiklerinizi birbirine yaklaştırın ve 3 saniye boyunca bu pozisyonda kalın."
Pike Push Ups,Arms,none (bodyweight exercise),Pike pozisyonunda yapılan şınav (ayakların yukarıda olması isteğe bağlıdır).
Seated Dumbbell Side Lateral,Shoulders,Dumbbell,Egzersizin başında hafifçe öne eğilmiş şekilde oturulur.
Overhand Cable Curl,Abs,Vücut Ağırlığı,"Eller omuz hizasında, kollarınızı başınıza doğru kıvırın, sonra tekrar açın."
Reverse Curl,Arms,"Barbell, Dumbbell","Ters tutuşlu halter kıvırma, avuç içlerinin aşağıya baktığı bir pazı kıvırma varyasyonudur. Avuç içi alttan tutuştan üstten tutuşa geçiş, önkol ve brakial kasları egzersize daha fazla dahil eder."
T-Bar row,Back,Barbell,"Üçgen kavrama ile öne eğilmiş, dizler hafifçe bükülmüş."
Front Wood Chop,Back,Vücut Ağırlığı,Açıklama Bulunamadı!
Roman Chair,Abs,Vücut Ağırlığı,Roma sandalyesinde karın egzersizleri
Modified pulldown,Back,Incline bench,"Çekme makinesinin önüne eğimli bir sehpa yerleştirerek, dar tutuşla sırt kaslarına odaklı çekme hareketleri yapın."
Dumbbell Bent Over Face Pull,Back,Dumbbell,"Bu egzersiz, üst sırt ve omuzları hedefleyen, öne eğilerek yapılan yüz çekme hareketinde dambılların kullanılmasını içerir. Hareket, dirsekleri yukarıda tutarak ve kürek kemiklerini birbirine yaklaştırarak ağırlıkları yüze doğru çekmeyi içerir."
Doorway Pectoral Stretch,Chest,none (bodyweight exercise),"1. Ön kolunuzu dikey olarak, baş hizasında bir kapı çerçevesine veya sabit bir nesneye yerleştirin.
2. Kolunuzu nesneye yaslı tutarak, göğsünüzü germek için kolunuzun yanından öne doğru bir adım atın."
Run,Cardio,Vücut Ağırlığı,"Parkta, pistlerde veya açık havada koşmak ya da tempolu yürüyüş yapmak..."
Incline Bench Press - MP,Chest,Vücut Ağırlığı,Açıklama Bulunamadı!
Reverse Plank,Abs,Vücut Ağırlığı,Karın tavana dönük şekilde plank pozisyonu.
Side Dumbbell Trunk Flexion,Abs,Dumbbell,"Diğer adıyla dambıl yan bükme hareketi. Kalça hizasında, dizleriniz hafifçe bükülü olarak durun, omurganızın doğal eğriliğini koruyun, ellerinizi vücudunuza doğru uzatın, dambılı tek elinizle kavrayın. Gövdenizi yavaş ve kontrollü bir şekilde yana doğru bükerek yaklaşık 45°'lik bir açıya ulaşana kadar hareket ettirin."
Side-lying External Rotation,Shoulders,Vücut Ağırlığı,"Bir elinize ağırlık alarak, ağırlığın karşısına gelecek şekilde yanınıza yatın. Dizlerinizi hafifçe bükük tutun. Dirseğinizi yanınıza yaslayın ve üst kolunuzu düz bir şekilde önünüze uzatın. Dirseğinizi yanınıza yaslamaya devam ederken, üst kolunuzu 90 derece yukarı doğru döndürün.

Bu egzersizde doğru formu sağlamak için koltuk altınıza bir havlu koymak faydalı olacaktır. Egzersiz süresince başınızın altına bir destek koymak da iyi bir fikirdir."
Skipping - Standard,Cardio,Vücut Ağırlığı,"İpi her sallayışınızda tek veya çift ayakla zıplayın.

Ayak parmak uçlarınızda hafifçe zıplayarak, akıcı ve ritmik bir hareket üzerinde çalışın."
Side Bends on Machine,Abs,Dumbbell,Açıklama Bulunamadı!
Stationary Bike,Cardio,Vücut Ağırlığı,Çeşitli gerilim seviyelerinde sabit bisiklet sürün.
Tricep Dumbbell Kickback,Arms,Dumbbell,"1. Her iki elinize birer dambıl alın ve avuç içleriniz gövdenize dönük olsun. Sırtınızı düz tutun, dizlerinizi hafifçe bükün ve belinizden öne doğru eğilin. Gövdeniz neredeyse yere paralel olmalıdır. Başınızı yukarıda tutmaya dikkat edin. Üst kollarınız gövdenize yakın ve yere paralel olmalıdır. Ağırlıkları tutarken ön kollarınız yere doğru bakmalıdır. Ön kolunuz ve üst kolunuz arasında 90 derecelik bir açı oluşmalıdır. Bu başlangıç ​​pozisyonunuzdur.

2. Şimdi, üst kollarınızı sabit tutarken, nefes verin ve triseps kaslarınızı kullanarak ağırlıkları kolunuz tamamen uzayana kadar kaldırın. Ön kolunuzun hareketine odaklanın.

3. En üst kasılma noktasında kısa bir duraklamadan sonra, nefes alın ve dambılları yavaşça başlangıç ​​pozisyonuna indirin.

4. Hareketi belirtilen tekrar sayısı kadar tekrarlayın.

**Varyasyonlar:** Bu egzersiz, tek kollu kürek çekme hareketine benzer şekilde, tek kolla da yapılabilir.

Ayrıca, tek kollu egzersizi tercih ediyorsanız, daha iyi bir tepe kasılma performansı için dambıl yerine alçak bir makara kolu kullanabilirsiniz. Bu durumda, avuç içleri gövdeye (nötr tutuş) değil, yukarıya (supine tutuş) bakmalıdır."
Superman,Back,Gym mat,"Yere yüzüstü uzanın, kollarınızı önünüze doğru uzatın, bacaklarınız düz bir şekilde yerde olsun. Sanki uçuyormuş gibi kollarınızı ve bacaklarınızı aynı anda kaldırın ve belinizi kasın. Nefes alıp vermeye dikkat edin ve kondisyon seviyenize bağlı olarak, hareketi her tekrarda en az iki ila beş saniye boyunca sürdürün."
Triceps on Machine,Arms,Vücut Ağırlığı,"Oturun ve barı ellerinizle sıkıca tutun. Şimdi ağırlığı yukarı doğru itin (kollarınızı tamamen uzatmayın) ve yavaşça tekrar indirin. Diğer triseps egzersizlerinde olduğu gibi, üst kollarınızı hareket ettirmemek önemlidir."
Standing Rope Forearm,Arms,Vücut Ağırlığı,"Ayaklarınız omuz genişliğinde açık olacak şekilde ayakta dururken, iki elinizle bir bilek silindir aleti tutun. Spor salonunuzda bilek silindir aleti yoksa, kolayca kendiniz yapabilirsiniz. İhtiyacınız olanlar 2,5 veya 4,5 kg'lık bir ağırlık plakası, yaklaşık 90 cm uzunluğunda ince ve sağlam bir ip ve 15-20 cm uzunluğunda bir çubuk veya bar. İpi çubuğun/barın ortasına sağlam bir şekilde bağlayın ve ipin diğer ucunu ağırlık plakasına bağlayın. Bu egzersize başlamak için, çubuğu/barı iki elinizle üstten kavrama yöntemiyle tutun. Her iki kolunuzu da yere paralel olacak şekilde önünüze doğru uzatın. Ardından, elleriniz ve bileklerinizle çubuğu/barı hızla çevirerek ağırlığı yerden yukarı doğru yuvarlayın. Ağırlık en üst noktaya ulaştığında, ellerinizin ve bileklerinizin hareketini tersine çevirerek plakayı yavaşça yere indirin. Tekrarlayın (yapabiliyorsanız!)."
Turkish Get-Up,Abs,Dumbbell,"Sırt üstü yatarak başlayın, bir elinize dambıl alarak ayakta durma pozisyonuna geçin. Tekrarlar arasında elinizi değiştirin."
SEATED CABLE MID TRAP SHRUG,Back,Vücut Ağırlığı,"Sırtı dik oturarak, üst kısımda hafifçe tutarak."
Curl with kettlebell two hands,Arms,Kettlebell,"Dik durun ve kettlebell'i iki elinizle kavrayın. Dirseklerinizi tamamen uzatılmış pozisyondan başlayarak, elleriniz omuz hizasına gelene kadar dirsek bükme hareketini gerçekleştirin. Denge sağlamak için bacaklarınızı biraz açın ve egzersizi doğru bir şekilde yapmak için sırtınızla veya genel olarak vücudunuzla itmemeye çalışın. Zorluğu ayarlamak için kettlebell'in ağırlığını değiştirin."
Power Clean,Chest,Barbell,Olimpik halter
Weighted Step-ups,Legs,Vücut Ağırlığı,Barbell ve her iki tarafta 45 kiloluk ağırlıklarla kutu üzerine adım atma egzersizi.
Upper External Oblique,Chest,Pull-up bar,Üst dış oblik kasları için egzersiz
Trunk Rotation With Cable,Abs,Vücut Ağırlığı,Kablo ile oturarak gövde döndürme
Wall Slides,Back,none (bodyweight exercise),"Topuklarınız, omuzlarınız, başınızın arkası ve kalçalarınız duvara değecek şekilde durun. Pazılarınız düz ve dirsekleriniz 90 derece açıda olacak şekilde başlayın. Sırtınızı duvardan ayırmadan, duvara yaslı kalarak kollarınızı düzleştirin, omuz presi hareketini taklit edin."
Overhead Press,Chest,Barbell,Açıklama Bulunamadı!
Elevated prayer stretch,Back,Bench,"**Başlangıç ​​pozisyonu:**
Bir bankın önünde diz çökün, gövdeniz dizlerinizle bank arasına sığacak kadar mesafe bırakın. Sırtınız düz olacak şekilde, dirseklerinizi banka koyun, avuç içleriniz birbirine bakacak şekilde, elleriniz yukarı doğru baksın.

**Adımlar:**

1. Nefes verirken, belinizi hareket ettirmeden göğsünüzü yere doğru uzatın. Aynı anda, avuç içleriniz birbirine bakacak ve dirsekleriniz bankta kalacak şekilde ellerinizi omuzlarınıza doğru getirin.

2. Birkaç saniye bekleyin.

3. Nefes alırken, sırtınızı gevşeterek başlangıç ​​pozisyonuna dönün.

4. Tekrarlayın."
Quadruped thoracic rotation left,Back,none (bodyweight exercise),"**Başlangıç ​​pozisyonu:**
Dizleriniz omuz genişliğinde açık olacak şekilde dört ayak üzerinde durun. Sağ elinizi uzatıp yere değdirirken sol elinizi başınızın arkasına koyun.

**Adımlar:**

1. Nefes alırken, sol dirseğinizi sağ elinize doğru hareket ettirin, sol elinizi başınızın arkasında tutun.

2. Nefes verirken, sol dirseğinizi tavana doğru yukarı doğru hareket ettirin.

3. Tekrarlayın."
Quadruped thoracic rotation right,Back,none (bodyweight exercise),"**Başlangıç ​​pozisyonu:**

Dizleriniz omuz genişliğinde açık olacak şekilde dört ayak üzerinde durun. Sol elinizi uzatıp yere değdirirken sağ elinizi başınızın arkasına koyun.

**Adımlar:**

1. Nefes alırken, sağ dirseğinizi sol elinize doğru hareket ettirin, sağ elinizi başınızın arkasında tutun.

2. Nefes verirken, sağ dirseğinizi tavana doğru yukarı doğru hareket ettirin.

3. Tekrarlayın."
Plate twist,Abs,Gym mat,"Adım 1: Bacaklarınız önünüzde uzatılmış şekilde bir egzersiz matının üzerine oturun.

Adım 2: Kollarınızı hafifçe bükerek, direksiyon tutar gibi iki elinizle bir ağırlık plakası kavrayın ve karın kaslarınızın önünde tutun.

Adım 3: Dizleriniz hafifçe bükülü halde, ayak bileklerinizi çaprazlayın ve yavaşça yerden birkaç santim yukarı kaldırın.

Adım 4: Sırtınızı düz tutun, ancak dengeyi korumak için hafifçe geriye doğru eğilin.

Adım 5: Nefes vererek, gövdenizi sağa doğru döndürün (bükün) ve plakanın ucunu yere değdirin.

Adım 6: Nefes alın ve öne bakan başlangıç ​​pozisyonuna geri dönün.

Adım 7: Nefes vererek, gövdenizi sola doğru döndürün (bükün) ve plakanın ucunu yere değdirin.

Adım 8: Nefes alın ve öne bakan başlangıç ​​pozisyonuna geri dönün.

Adım 9: Bir set tamamlayana kadar tekrarlayın."
Hindu Pushups,Shoulders,Vücut Ağırlığı,"Omuz ve göğüs kaslarını güçlendirmek için bir egzersiz. Adını, yoga pozisyonu ""Aşağıya Bakan Köpek""ten alıp, bacaklar veya gövde yere değmeden ""Kobra"" pozisyonuna geçerek normal bir bükülme ile sona ermesinden almaktadır. Egzersiz geriye doğru da (başlangıç ​​pozisyonuna geri) yapılabilir. Bir varyasyon olarak, şınavdan sonra kalça kaldırılarak aşağıya bakan köpek pozisyonuna geri dönülebilir."
Shoulder dislocates,Shoulders,Vücut Ağırlığı,"**Başlangıç ​​pozisyonu:**
Sırtınız dik ve elinizde bir direnç bandı, havlu veya süpürge sapı ile ayakta durun. Ellerinizi vücudunuzun önünde düz bir şekilde ve bandı ellerinizin arasında tutarak, başparmaklarınız aşağıya bakacak şekilde, ellerinizi vücudunuzdan yaklaşık 45 derece açı oluşturacak şekilde birbirinden ayırın. Eğer havlu veya süpürge sapı kullanıyorsanız, üstten kavrama ile tutun.

**Adımlar:**

1. Kollarınızı uzatılmış halde tutarak, omuzlarınızdan dönerek kollarınızı başınızın üzerine ve ardından kalçalarınıza doğru indirin.

2. Omuzlarınızdan ters yönde dönün - başınızın üzerine ve ardından kasıklarınıza doğru.

3. Tekrarlayın."
Bent over row to external rotation,Back,Vücut Ağırlığı,"**Başlangıç ​​pozisyonu:**
Bir sandalyenin arkasında veya bir masanın önünde durun. Belinizi bükerek alnınızı sandalyenin başlığına veya masaya yaslayın, sırtınızı düz tutun. Kollarınız düz bir şekilde aşağı sarkmalı ve yere doğru bakmalıdır.

**Adımlar:**

1. Dirseklerinizi omuz hizasına kaldırın. Ön kollarınız aşağı doğru, pazı kaslarınıza dik olmalıdır. Pazı kaslarınız sırtınızla aynı hizada ve omurganıza dik olmalıdır.

2. Bir süre bekleyin.

3. Dirseklerinizi döndürerek ellerinizi olabildiğince yukarı kaldırın.

4. Bir süre bekleyin.

5. Dirseklerinizi döndürerek önceki pozisyona geri dönün.

6. Kollarınızı başlangıç ​​pozisyonuna indirin.

7. Tekrarlayın."
